"","X","publisher","journal","role","editor","affiliation","url","date"
"198",198,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Semra Benzer","Gazi University, Gazi Education Faculty, Science Education, Yenimahalle, Ankara, Turkey","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"199",199,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Satyajit Kanungo","Department of Botany, Utkal University, India","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"200",200,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Maulin Pramod Shah","Chief Scientist &amp; Head-Industrial Waste Water Research Lab, Division of Applied &amp; Environmental Microbiology Lab, Enviro Technology Limited, Ankleshwar, India","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"201",201,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Ashraf Abd El-Aala Abd El-Mohsen","Agronomy department, Faculty of Agriculture, Cairo University, Giza,
EGYPT","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"202",202,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Saber Abd-Allah","Faculty of Veterinary Medicine, Beni-Suef University, Egypt","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"203",203,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Idress Hamad Attitalla","Botany Department, Faculty of Science, Omar Al-Mukhtar University
Al- Bayda, LIBYA","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"204",204,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Hayfa Hadi Hassani","College of Applied Biotechnology, Al-nahrain University, Baghdad,
IRAQ","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"205",205,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Vijay J. Jadhav","Department of Veterinary Public Health &amp; Epidemiology
Lala Lajpat Rai University of Veterinary &amp; Animal Sciences, Hisar?
125004 (Haryana) India","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"206",206,"iMedPub","Annals of Biological Sciences","Editorial Board Member","Dr. Alireza Heidari","Faculty of Chemistry, California South University (CSU), USA","https://www.imedpub.com/annals-of-biological-sciences/editors.php","2021-05-19"
"207",207,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Theodoros Eleftheriadis","Assistant Professor of Nephrology, MD, PhD
University of Thessaly
Department of Nephrology
Greece","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"208",208,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Juan Miguel AlemÃ¡n IÃ±iguez","Maxillo-Craniofacial Surgery Service and Neurosurgery at Vicente Corral Moscoso Hospital, Cuenca, Ecuador.","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"209",209,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Edward J. Drea","Director, Medical Managed Care, ONCOLOGY, Sanofi-Genzyme; Cambridge, Massachusetts, USA","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"210",210,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Xose Perez","Department of Critical Care Medicine, Hospital Universitari de Bellvitge, Barcelona, Spain","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"211",211,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Giovanni Luigi Tripepi","Head of the CNR-IFC Research Unit of Clinical Epidemiology and Physiopathology of Renal Diseases and Hypertension of Reggio Calabria, Italy","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"212",212,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Sahali Djillali","Professor, Nephrology Department,INSERM U955, Henri Mondor Hospital
Paris-East, France","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"213",213,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Laurynas Rimsevicius","Head of Dialysis Unit, Vilnius University Hospital Santariskiu Klinikos, Lithuania","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"214",214,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Francesco Paolo Schena","F.P. Schena,MD,FASN,FERA
Professor of Nephrology
University of Bari
Piazza G. Cesare 11
70124 Bari, Italy","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"215",215,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Dean Markic","Department of Urology, University Hospital Rijeka, Tome Strizica 3, 51 000 Rijeka, Croatia, 51 000, Rijeka, Croatia","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"216",216,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Falguni Das","Division of Nephrology, Department of Medicine, The University of Texas Health Science Center at San Antonio, San Antonio, Texas, USA","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"217",217,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Dongshan Zhang","Associate professor of emergency department, associate director of the Research Section, Second Xiangya Hospital, Central South University,Changsha, China","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"218",218,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Vaia D. Raikou","Head-Nephrologist of Nephrological Department, Doctors Hospital,Athens, Greece","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"219",219,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Pierluigi Marzuillo","Department of Pediatrics, Second University of Naples, Italy","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"220",220,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Marcin Wiesaw Tkaczyk","Department of Pediatrics, Immunology and Nephrology, The Polish Mother's Memorial Hospital Research Institute, Poland","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"221",221,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Ralf Oettmeier","Stellar Bio molecular Research (SBR) and FCTI, Germany","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"222",222,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Dong Wang","University of Colorado Denver, Colorado, USA","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"223",223,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Morshed Salah","Department of Urology, Al Wakra Hospital, Qatar","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"224",224,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. N Gopalakrishnan","Director, Institute of Nephrology, Madras Medical College, Chennai, India","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"225",225,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Andriy Trailin","Head of Laboratory Diagnostics and General Pathology Department, State Institution ""Zaporizhzhia Medical Academy of Post-Graduate Education Ministry of Health of Ukraine"", Ukraine","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"226",226,"iMedPub","Annals of Clinical Nephrology","Editorial Board Member","Dr. Juan Du","Department of Endocrinology, The people's hospital of Jiin Province, Changchun city, Jilin Province, China","https://www.imedpub.com/annals-of-clinical-nephrology/editors.php","2021-05-19"
"227",227,"iMedPub","Archives in Chemical Research","Editor-in-Chief","Ken Cham-Fai LEUNG","Associate Professor at the Department of Chemistry, Assistant to
Director at the Institute of Creativity, and a member in the State Key Laboratory
of Environmental and Biological Analysis, China","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"228",228,"iMedPub","Archives in Chemical Research","Executive Editor","Ahmed Mohammed Abu-Dief Mohammed","Lecturer of bioinorganic and physical Chemistry at Chemistry Department, Faculty of Science,
Sohag University,
Sohag,
Egypt.","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"229",229,"iMedPub","Archives in Chemical Research","Editorial Board Member","Dr. Satya Dubey","Research Associate, (Material Process Simulation and Mathematical modelling)
Advanced Vehicle Engineering Centre (AVEC)
School of Aerospace, Transport and Manufacturing (SATM)
B-56b, Cranfield University, Cranfield, MK43 0AL, UK","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"230",230,"iMedPub","Archives in Chemical Research","Editorial Board Member","Dr. Bhaskar Chakraborty","Professor &amp; Head Department of Chemistry, Sikkim Government College (A Deemed State University), Gangtok, Sikkim","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"231",231,"iMedPub","Archives in Chemical Research","Editorial Board Member","Dr. Narges Shahgholian","Ph.D. Food engineering in the field of ""Food Chemistry &amp; Nanotechnology, Mashhad","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"232",232,"iMedPub","Archives in Chemical Research","Editorial Board Member","Lucian Mocan","Professor in General Surgery at 3-rd Surgical University Hospital-?Prof. O. Fodor? Gastroenterology Intitute Iuliu Hatieganu University of Medicine and Pharmacy Cluj-Napoca, Romania.","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"233",233,"iMedPub","Archives in Chemical Research","Editorial Board Member","Gioacchino Conoscenti","Postdoctoral researcher, University of Palermo, Palermo Italy","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"234",234,"iMedPub","Archives in Chemical Research","Editorial Board Member","Mridul Mandal","Staff Scientist,EAG Laboratories,Columbia, Missouri.","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"235",235,"iMedPub","Archives in Chemical Research","Editorial Board Member","ROSSELLA ARRIGO","Post-doctoral Researcher, Department of Applied Science and Technology, Polytechnic of Turin","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"236",236,"iMedPub","Archives in Chemical Research","Editorial Board Member","Ibnelwaleed Ali Hussein","Research Professor at the Gas Processing Center, College of Engineering, Qatar University,Qatar","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"237",237,"iMedPub","Archives in Chemical Research","Editorial Board Member","Ana Loncaric Bozic","Associate professor involved in teaching and research in the field of Chemical and Environmental engineering,crotia, europe","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"238",238,"iMedPub","Archives in Chemical Research","Editorial Board Member","Agata Stanek","Associate Professor of the Medical University of Silesia, Poland.","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"239",239,"iMedPub","Archives in Chemical Research","Editorial Board Member","Cornelia Vasile","Senior researcher at ""P. Poni"" Institute of Macromolecular Chemistry, Iasi
associate professor - Laval University, Quebec, Canada, ""Gh. Asachi"" Technical University and ""Al. I. Cuza"" University of Iasi, Romania","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"240",240,"iMedPub","Archives in Chemical Research","Editorial Board Member","Daniele Contini","Head of the Lecce Section of the Institute of Atmospheric Science and Climate of the National Research Council (ISAC-CNR),Italy
Senior Researcher (II level) at the Lecce Section of the Institute of Atmospheric Science and Climate of the National Research Council (ISAC-CNR)Italy","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"241",241,"iMedPub","Archives in Chemical Research","Editorial Board Member","Massoud Kaykhaii","professor of analytical chemistry at the University of Sistan and Baluchestan, Zahedan/Iran","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"242",242,"iMedPub","Archives in Chemical Research","Editorial Board Member","Burcak EBIN","Researcher Chalmers University of Technology Energy and Materials Division Industrial Material Recycling Research Group, Gothenburg, Sweden.
Co-Founder/Advisory Board,Nanokomp Advanced Materials Co. Ltd.Istanbul, Turkey.","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"243",243,"iMedPub","Archives in Chemical Research","Editorial Board Member","Chunyan Ren","Postdoctoral fellow, Mount Sinai School of Medicine, Newyork","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"244",244,"iMedPub","Archives in Chemical Research","Editorial Board Member","Seyyed Rasul Mousavi","Department of Medicinal Chemistry, Faculty of Pharmacy and Pharmaceutical
Sciences Research Center, Tehran University of Medical Sciences, Tehran, Iran
Department of Chemistry, Faculty of Science, Payame Nour University of Khoy,khoy Iran","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"245",245,"iMedPub","Archives in Chemical Research","Editorial Board Member","Behzad Shareghi","Professor, University of Shahrekord,Sharekord, Iran","https://www.imedpub.com/archives-in-chemical-research/editors.php","2021-05-19"
"246",246,"iMedPub","Archives in Chemistry","Editorial Board Member","Shah Zeb","PhD in Chemistry and Chemical Engineering,
University of Jinan,
Shandong, China .","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"247",247,"iMedPub","Archives in Chemistry","Editorial Board Member","Alireza Heidari","Prof. Dr. Alireza Heidari, Ph.D., D.Sc.
Full Distinguished Professor and Academic Tenure of Chemistry &amp;
Director of the BioSpectroscopy Core Research Laboratory at
Faculty of Chemistry, California South University (C SU), Irvine, California, U SA &amp;
President of the American International Standards Institute (AISI)
Irvine, California, U SA","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"248",248,"iMedPub","Archives in Chemistry","Editorial Board Member","Alireza Heidari","Prof. Dr. Alireza Heidari, Ph.D., D.Sc.
Full Distinguished Professor and Academic Tenure of Chemistry &amp;
Director of the BioSpectroscopy Core Research Laboratory at
Faculty of Chemistry, California South University (C SU), Irvine, California, U SA &amp;
President of the American International Standards Institute (AISI)
Irvine, California, U SA.","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"249",249,"iMedPub","Archives in Chemistry","Editors","Dr. Ahmed Nabih Zaki Rashed","Prof. Electronic and Electrical Communication Engineering Department, Faculty of Electronic Engineering, Menoufia University.","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"250",250,"iMedPub","Archives in Chemistry","Editors","Dr. Abdelkader Zarrouk","Mohammed First University, Faculty of Sciences, Laboratory of Applied Chemistry and Environment, Morocco","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"251",251,"iMedPub","Archives in Chemistry","Editors","Dr Verka Meshko","Dr Verka Meshko is Professor and Dean of the Faculty of Engineering at the International Balkan University, Macedonia","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"252",252,"iMedPub","Archives in Chemistry","Editors","Dr. Noriyuki YONEZAWA","Professor of Chemistry, PhD, Tokyo University of Agriculture &amp; Technology, Tokyo","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"253",253,"iMedPub","Archives in Chemistry","Editors","Dr Jadranka Blazevska Gilev","Associate professor at the University St Cyril and Methodius and faculty of Technology and Metallurgy-Skopje,Macedonia","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"254",254,"iMedPub","Archives in Chemistry","Editors","Dr. G Ali mansoori","Professor of Chemical and Bio Engineering &amp; Physics University of Illinois, Chicago","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"255",255,"iMedPub","Archives in Chemistry","Editors","Dr. Abubakr Mustafa Idris","Associate Professor of Analytical Chemistry Department of Chemistry, King Khalid University, Saudi Arabia","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"256",256,"iMedPub","Archives in Chemistry","Editors","Dr.K.Natarajan","Former Emeritus Scientist (CSIR), Former Director, School of Chemical Sciences and Head Department of Chemistry Bharathiar University, India","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"257",257,"iMedPub","Archives in Chemistry","Editors","Dr. Anyun Zhang","College of Chemical and Biological Engineering, Zhejiang University, P.R. China","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"258",258,"iMedPub","Archives in Chemistry","Editor","Dr. Yusuf Tutar","Professor of Pharmacy, Department of Basic Sciences Biochemistry Division Sivas, TURKEY","https://www.imedpub.com/archives-in-chemistry/editors.php","2021-05-19"
"259",259,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Aparajita Banerjee","Postdoctoral Researcher, University of Delaware, Newark, DE","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"260",260,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Ayman EL-Sabagh","Hiroshima University, JAPAN; Cukurova University, Turkey; Faculty of Agriculture Kafr El-sheikh University, Egypt.","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"261",261,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Mehmood Ali Noor","Chinese Academy of Agricultural Sciences, Institute of Crop Science, Key Laboratory of Crop Physiology and Ecology, Ministry of Agriculture, China","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"262",262,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Aliyev Zakir Husein oglu","Professor, Doctor of Philosophy of Agricultural Sciences, Azerbaijan","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"263",263,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Abdulltaif (Abed) Azab","Institute of Applied Research, The Galilee Society, Shefa-Amr, Israel","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"264",264,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Ahmed IS Ahmed","Researcher of Plant Pathology, Plant Protection Department, Desert Research Center, Egypt","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"265",265,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Sara Vitalini","Cooperation in research activities for Department of Agricultural and Environmental Sciences-DiSAA, Milan State University, Italy","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"266",266,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Kaptain Kishor Bajpayee","Associate Professor, Center for Research in Ethno &amp; Medico Botany, Dr. RML PG College (CSJM UNIVERSITY), India","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"267",267,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Jiban Shrestha","Scientist (Plant Breeding &amp; Genetics), Nepal Agricultural Research Council, National Maize Research Program, Nepal","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"268",268,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Abeer Yousry Ibrahim","Associated Professor, Medicinal and Aromatic Plants Researches Department, Pharmaceutical and Drug Industries Researches Division, National Research Centre, Egypt","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"269",269,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Muhammed Iqbal","Professor of Botany, Jamia Hamdard (Hamdard University), India","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"270",270,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Adil Jamal","Agricultural Biotechnology Division, National Institute for Biotechnology and Genetic Engineering, Pakistan","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"271",271,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Ahmed Mohammed Saad Kheir","Soil Conservation and Improvement Research Department, Sakha Agriculture Research Station, Soil, Water and Environment Research Institute, Agriculture Research Center, 9 Cairo University St., Giza, Egypt","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"272",272,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Anil A Kshirsagar","Department of Botany, Shivaji Arts, Commerce &amp; Science College, India","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"273",273,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Ebrahim Azarpour","Agronomy Sciences, University of Guilan, Iran","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"274",274,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Maziar Heidari","Department of Forestry, Faculty of Natural Resources, Sari Agricultural Sciences and Natural Resources University, Iran","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"275",275,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Nasroallah Moradi Kor","College of Agricultural Sciences and Natural Resources, University of Razi, Iran","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"276",276,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","RK Upadhyay","Department of Botany, Haflong Government College, India","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"277",277,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Rajendra D Yeole","Department of Botany, Smt GG Khadse College, India","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"278",278,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Ram Swaroop Meena","Department of Agronomy, Institute of Agricultural Sciences, Banaras Hindu University, India","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"279",279,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Jose Antonio Rodriguez","National Institute of Agricultural Research and Technology and Food (I.N.I.A), Environment Department, Spain","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"280",280,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Ranjith Pathirana","Science Team Leader (Germplasm Conservation), Plant &amp; Food Research (PFR), New Zealand","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"281",281,"iMedPub","Asian Journal of Plant Science & Research","Editorial Board Member","Neha Mittal","Department of Biological Sciences, University of North Carolina at Charlotte, USA","https://www.imedpub.com/asian-journal-of-plant-science-research/editors.php","2021-05-19"
"282",282,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor-in-Chief","Heather A. Hausenblas","Associate Dean, School of Applied Health Sciences, Professor of Kinesiology, Brooks Rehabilitation College of Healthcare Sciences, Jacksonville University, USA; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""472f2f2632342229072d3269222332"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"283",283,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor-in-Chief","Dr. Mohammed Akbar","Laboratory of Membrane Biochemistry and Biophysics, National Institute on Alcohol Abuse and Alcoholism (NIAAA), National Institutes of Health (NIH), USA; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""07666c6566756a476a666e6b29696e6f29606871"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"284",284,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor-in-Chief","Dr. Miri Gitik","Laboratory of Neurogenetics,
Section of Human Genetics,
National Institute on Alcohol Abuse and Alcoholism (NIAAA)
National Institute of Health (NIH),
USA; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""7815110a11561f110c111338161110561f170e"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"285",285,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Dr. Srinivas B Muvvala","Department of Psychiatry
Medical Director of the Substance Abuse Treatment Unit,
Connecticut Mental Health Center,
Yale School of Medicine,
USA; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""8cfffee5e2e5faedffa2e1f9fafaede0edccf5ede0e9a2e9e8f9"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"286",286,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","TANG Wai Kwong","Department of Psychiatry,
The Chinese University of Hong Kong,
Shatin Hospital, Hong Kong SAR; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""5b2f3a353c2c301b382e3330753e3f2e753330"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"287",287,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Dr. Alessandro Musetti","Department of Literature, Arts, History and Society, University of Parma, Parma, Italy; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""d7b6bbb2a4a4b6b9b3a5b8f9baa2a4b2a3a3be97a2b9bea7a5f9bea3"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"288",288,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Badii Amamou","Department of Psychiatry,
University Hospital of Monastir (Fattouma Bourguiba Hospital),
Monastir, Tunisia; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""d4b5b9b5b9bba1b6b5b0bdbd94bcbba0b9b5bdb8fab2a6"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"289",289,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Seyyed Salman-Alavi","Psychiatry and psychology Research center,
Roozbeh Hospital,
Tehran University of Medical Sciences,
Tehran, Iran; <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""fdbc919c8b94bd8e99918f9ed3908894d39c9ed3948f"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"290",290,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Dr. Mona Srivastava","Associate Professor,
Department of Psychiatry,
Institute of Medical Sciences,
Banaras Hindu University,
India; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""f094829d9f9e9183829986918384918691b0979d91999cde939f9d"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"291",291,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","GURPREET SINGH GULIANI","SENIOR RESIDENT, DEPT OF PSYCHIATRY, MM MEDICAL COLLEGE AND HOSPITAL SOLAN,Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""e68289858193949694838392958f88818ededea69483828f80808b878f8ac885898b"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"292",292,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Afusat Olanike Busari","Faculty of Education,
Department of Counselling and Human Development Studies,
University of Ibadan,
Nigeria; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""25415747504e4a4944654248444c490b464a48"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"293",293,"iMedPub","Journal of Addictive Behaviors and Therapy","Editor","Ahmed Hossain","Associate Professor, Department of Public Health, North South University, Bangladesh; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""caaba2a7afaee4a2a5b9b9aba3a48aa4a5b8bea2b9a5bfbea2e4afaebf"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
"294",294,"iMedPub","Journal of Addictive Behaviors and Therapy","Advisory Board Member","Dr. Narayan Singh Manaklao","Patron, Opium De-addiction Treatment Training and Research Trust, Manaklao, Jodhpur, Rajasthan, India; Email: <a href=""/cdn-cgi/l/email-protection"" class=""__cf_email__"" data-cfemail=""157b6678747b747e79747a557278747c793b767a78"">[emailÂ protected]</a>
","https://www.imedpub.com/addictive-behaviors-and-therapy/editors.php","2021-05-19"
