publisher	journal	role	editor	orcid	affiliation	url	date
Hindawi	BioMed Research International	Section Editors	Narasimha Murthy	NA	University of Mississippi, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Sami M. Nazzal	0000-0002-3344-4025	University of Louisiana at Monroe, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Petra Nnamani	NA	University of Nigeria, Nsukka, Nigeria	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Ali Nokhodchi	0000-0002-3244-2482	University of Sussex, United Kingdom	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Kamla Pathak	NA	Pharmacy College Saifai, India	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Yunierkis Pérez-Castillo	0000-0002-3710-0035	Department of Computer Sciences, Faculty of Sciences, Vrije Universiteit Brussel, Belgium	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Anna Sarnelli	NA	Department of Medical Physics IRCCS Istituto Romagnolo per Lo Studio e la Cura Dei Tumori, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Hugh D. Smyth	0000-0002-6582-5869	The University of Texas at Austin, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Fabio Sonvico	0000-0001-7372-1456	University of Technology, Sydney, Australia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Muhammad Taher	0000-0002-1463-3090	International Islamic University Malaysia, Malaysia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Bogdan Tamba	0000-0001-9868-1999	Centre for the Study and Therapy of Pain, Gr. T. Popa University of Medicine and Pharmacy, Iasi, Romania; A&amp;B Pharm Corporation, Roman, Romania, Romania	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Dan Cristian Vodnar	0000-0001-5407-8071	University of Agricultural Sciences and Veterinary Medicine of Cluj Napoca, Romania	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Hu Wang	0000-0001-6132-8788	China Three Gorges University, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Nilufer Yuksel	0000-0002-8907-9741	Ankara University, Turkey	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Abdel A. Abdel-Rahman	0000-0002-3461-2190	East Carolina University, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Atef M. Al-Attar	0000-0002-7974-463X	King Abdulaziz University, Saudi Arabia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Camelia Albu	NA	National Institute for Research-Development of Biological Sciences, Romania	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Mohammed Aliyu-Paiko	0000-0003-3400-7588	Laboratory of Marine Biotechnology, Institute of Bioscience (IBS),Universiti Putra Malaysia (UPM), Serdang Selangor 43400, Malaysia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Irfan A. Ansari	NA	Integral University, Lucknow, India	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Dr Muhammad Hassham Hassan Bin Asad	0000-0002-2739-9416	CUI Pakistan; Multan Institute of Nuclear Medicine and Radiotherapy (MINAR) 377, Nishtar Hospital, Multan, Pakistan, Pakistan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Mohammad Hassan Baig	NA	School of Biotechnology, Yeungnam University, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Dan-Qian Chen	NA	School of Pharmacy Faculty of Life Science and Medicine Northwest University, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Juan Carlos Corona	0000-0003-4907-437X	Univ Autonoma Madrid, Ctr Biol Mol Severo Ochoa UAM CSIC, Madrid, Spain, Spain	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Renata Ferreira	NA	Univ Fed Minas Gerais, Inst Biol Sci, Dept Pharmacol, 31270-901, BR-31270901 Belo Horizonte, MG, Brazil, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Oreste Gualillo	0000-0002-7154-1328	Santiago University, Spain	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Joohun Ha	NA	Kyung Hee University, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Jane Hanrahan	0000-0001-8205-0260	University of Sydney, Australia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Ihsan-ul Haq	0000-0001-6413-5957	Department of Pharmacy, Quaid-i-Azam University, Islamabad-45320. Pakistan, Pakistan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Luis Ricardo Hernández	0000-0002-3877-1244	Universidad de las Americas, Mexico	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Tomas Herraiz	NA	Instituto de Ciencia y Tecnología de Alimentos y Nutrición (ICTAN) Spanish National Research Council (CSIC) , Spain	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Kazim Husain	0000-0001-9487-0071	Ponce School of Medicine, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Ali Imran	NA	Institute of Home and Food Sciences Government College University , Pakistan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Muhammad Ayub Kakar	NA	Institute of Biochemistry, University of Balochistan,  Quetta, Pakistan, Pakistan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Farhad Kamali	0000-0002-8401-4017	Newcastle University, United Kingdom	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Hye Joung Kim	NA	Professor, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Zwe- Ling Kong	0000-0002-4877-6524	Department of Food Science National Taiwan Ocean University , Taiwan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Taeg K. Kwon	NA	Keimyung University, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Fatima Lamchouri	0000-0002-6711-1050	Laboratory of Materials, Natural Substances, Environment and Modeling (LMSNEM), Polydisciplinary Faculty of  Taza, Sidi Mohamed Ben Abdellah University of Fez, Morocco	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Robert J. Lee	0000-0002-5981-5867	The Ohio State University, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Min-Hui Li	0000-0002-5366-8464	Guangxi Key Laboratory of Medicinal Resources Protection and Genetic Improvement Guangxi Botanical Garden of Medicinal Plants , China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Ming D. Li	0000-0002-6873-9472	Zhejiang University, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Rui Liu	0000-0003-2233-125X	Institute of Medicinal Biotechnology, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Andrea Mencarelli	NA	DUKE-NUS Emerging Infection Diseases , Singapore	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Janet Mifsud	NA	University of Malta, Malta	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Juliana Mozer Sciani	0000-0001-7213-206X	Universidade São Francisco, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Riccardo Nucera	0000-0003-1867-9712	University of Messina, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Giacomo Oteri	0000-0002-0941-1645	university of messina, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Chi-Un Pae	0000-0002-6774-9417	The Catholic University of Korea, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Ravi Radhakrishnan	0000-0002-8593-5301	UTMB, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Vickram Ramkumar	0000-0001-6852-5303	 Southern Illinois University School of Medicine, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Thaís Ribeiro	NA	Universidade Federal da Paraíba, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Emilio Rojas	NA	Universidad Nacional Autónoma de México, Mexico	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Li-kang SUN	NA	Tianjin University of Traditional Chinese Medicine, Switzerland	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Adair Santos	NA	Universidade Federal de Santa Catarina, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Janet Sultana	NA	Universita degli Studi di Messina, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Shi-Yong Sun	0000-0002-0117-8826	Emory University, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Shusen Sun	NA	Western N Engl University, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Emmanuel Talla	NA	University of Ngaoundéré, Cameroon	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Paul Vernyuy Tan	0000-0001-7112-7912	Department of Animal Biology and PhysiologyLaboratory of Animal PhysiologyUniversity of Yaounde I, Cameroon	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Giuseppe Troiano	0000-0001-5647-4414	University of Foggia, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Paul M. Tulkens	0000-0002-7121-3623	Université Catholique de Louvain, Belgium	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Narsingh Verma	NA	Professor, Physiology Dept. Medical University, Lucknow, India, India	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Ji-Fu Wei	0000-0001-6412-3251	Nanjing Medical University, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Baojun Xu	0000-0003-0739-3735	Food Science and Technology Program Beijing Normal University Hong Kong Baptist University United International College, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	John H. Zhang	0000-0002-4319-4285	Loma Linda University, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Liang-Liang Zhu	NA	Anhui Research Center of Aquatic Organism Conservation and Water Ecosystem Restoration Anqing Normal University , China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Said Ahmaidi	NA	Picardie Jules Verne University, France	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Carlos R. Bueno Junior	0000-0002-2228-0758	Harvard Medical School, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Claudio Carallo	NA	Department of Experimental and Clinical Medicine Magna Græcia University of Catanzaro , Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Carlo Castagna	NA	University of Rome Tor Vergata, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Carlos Dieguez	0000-0002-0919-4337	University of Santiago de Compostela, Spain	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Jean Claude Dussaule	NA	Hôpital Tenon, France	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Goutam Ghosh Choudhury	0000-0003-0101-5821	University of Texas Health Science Center, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Laura Guidetti	0000-0002-1419-4550	"University of Rome ""Foro Italico"", Italy"	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Mohammed Shahadat Hossain	NA	Laboratory of Plant Stress Responses Faculty of Agriculture Kagawa University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Tomoyasu Kadoguchi	NA	Department of Cardiovascular Medicine, Juntendo University Graduate School of Medicine, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Yoshiki Kaneoke	0000-0003-4264-4894	Wakayama Medical University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Eiichi Kumamoto	0000-0002-2365-1768	Saga University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Mateusz Maciejczyk	0000-0001-5609-3187	Medical University of Białystok, Poland	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Eduardo Buozi Moffa	0000-0002-0372-6830	UNESP, Univ Estadual Paulista, Araraquara Dental School, Department of Dental Materials and Prosthodontics, Araraquara, São Paulo, Brazil, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Pantelis Nikolaidis	0000-0001-8030-7122	Hellenic Army Academy, Greece	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Shigehiko Ogoh	NA	Toyo Univeristy, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	James Oluwagbamigbe Fajemiroye	0000-0001-7440-7581	Universidade Federal de Goiás, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Gustavo Rodrigues Pedrino	0000-0003-0488-5400	Federal University of Goiás, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Giuseppe Piccione	NA	Università di Messina, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Claude Prigent	0000-0001-8515-8699	Université de Rennes 1, France	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Domingo J. Ramos-Campo	NA	Faculty of Sport Science. Catholic University of Murcia, Spain	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Toshiyuki Sawaguchi	0000-0003-0143-5316	Musashino Gakuin University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Heide Schatten	NA	University of Missouri, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Masayuki Shimada	NA	Hiroshima University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Akito Tanoue	NA	National Research Institute for Child Health and Development, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Kunikazu Tsuji	0000-0002-1013-8359	Tokyo Medical and Dental University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Oliver Von Bohlen und Halbach	0000-0002-6265-9156	Universität Greifswald, Germany	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Zuoxin Wang	NA	Florida State University, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Muhammad Shahbaz Yousaf	NA	Department of Physiology, University of Veterinary and Animal Sciences, Lahore-Pakistan, Pakistan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Aleksandra Zebrowska	0000-0001-7446-528X	Department of Physiological and Medical Sciences The Jerzy Kukuczka Academy of Physical Education , Poland	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Ying-Mei Zhang	0000-0001-7686-1534	Fourth Military Medical University , China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Mauro Henrique Nogueira Guimarães Abreu	0000-0001-8794-5725	Department of Community and Preventive Dentistry, University Federal of Minas Gerais, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Italo F. Angelillo	0000-0003-1213-6602	"Department of Experimental Medicine, University of Campania ""Luigi Vanvitelli"", Naples, Italy, Italy"	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Chaisiri Angkurawaranon	0000-0003-4206-9164	Department of Family Medicine Faculty of Medicine Chiang Mai University, Thailand	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Syed Khurram Azmat	NA	Department of Paediatric Emergency Medicine Hospital for Sick Children , Canada	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Peng Bao	0000-0002-8070-0589	Key Lab of Urban Environmental Processes and Pollution Control Ningbo Urban Environment Observation and Station Chinese Academy of Sciences, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Shahrzad Bazargan-Hejazi, PhD	0000-0001-8361-5198	Charles Drew University of Medicine and Science &amp; David Geffen School of Medicine at UCLA, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Vance W Berger	NA	Biometry Research Group, National Cancer Institute,, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Paulo Henrique Braz-Silva	0000-0002-1842-9521	University of São Paulo, Brazil	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Arundhati Char	NA	Centre for Health Policy, Saint Vincent and the Grenadines	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Li-Wei Chou	0000-0002-3540-6225	China Medical University, Taiwan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Reinie Cordier	0000-0002-9906-5300	Curtin University, Australia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Matteo Curcuruto	NA	School of Social Sciences Leeds Beckett University City Campus, United Kingdom	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Peter P. Egeghy	0000-0002-1727-0766	U.S. Environmental Protection Agency, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Obinna Ikechukwu Ekwunife	NA	Department of Clinical Pharmacy and Pharmacy Management Nnamdi Azikiwe University , Nigeria	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Geng-Feng Fu	0000-0001-5099-2050	Jiangsu Provincial Center for Disease Prevention and Control, China	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Bishwajit Ghose	0000-0003-4461-3821	OPED, Togo	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Antonella Gigantesco	0000-0001-9262-7756	Istituto Superiore di Sanità, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Gabriele Giorgi	NA	Department of Human Sciences, European University of Rome Via degli Aldobrandeschi, 190, 00163 Rome, Italy, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Nguyen Thi Ngoc Han	0000-0002-1986-0647	University Medical Center Ho Chi Minh City, Vietnam	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Mihajlo Jakovljevic	NA	Hosei University, Japan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Ali Khani Jeihooni	0000-0003-4334-3356	Department of Public Health, School of Health, Shiraz University of Medical Sciences, Shiraz, Iran	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Kumud K. Kafle	NA	Tribhuvan University, Nepal	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Anna Karakatsani	0000-0002-3275-2026	Attikon University Hospital, Greece	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Young-Eun Kim	0000-0003-0694-6844	Department of Preventive Medicine, College of Medicine, Korea University, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Barthélémy Kuate Defo	NA	Université de Montréal, Canada	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Blanca Laffon	0000-0001-7649-2599	Universidade da Coruña, Spain	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	John Asiedu Larbi	0000-0003-2396-0269	Kwame Nkrumah University of Science and Technology, Ghana	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Caterina Ledda	0000-0003-0739-8798	University of Catania, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Barbara Loera	NA	University of Turin, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Shivakumar M.S.	NA	Periyar University, India	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Andrea Maugeri	0000-0003-2655-8574	University of Catania, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Suresh Mehata	0000-0003-3426-2108	Nepal Health Sector Support Programme, Nepal	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Dominique J. Monlezun	0000-0001-7671-1886	University of Texas Health Sciences Center  Houston, TX, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Xavier Nsabagasani	NA	Makerere University, Uganda	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Hynek Pikhart	NA	University College London, United Kingdom	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Agnese Maria Chiara Rapisarda	NA	Department of General Surgery and Medical Surgical Specialties, University of Catania, Catania, Italy., Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Venerando Rapisarda	NA	Occupational Medicine, University Hospital “Policlinico -Vittorio Emanuele” University of Catania, Via Santa Sofia, 78 95123, Italy, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Maria Ruberto	NA	Department of Medical-Surgical and Dental Specialties Università degli Studi della Campania 'Luigi Vanvitelli' , Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Asim Jamal Shaikh	0000-0002-2043-301X	The Aga Khan University Hospital, Kenya	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Babar Tasneem Shaikh	0000-0002-2056-4132	Health Services Academy, Islamabadse Housing Authority, Pakistan	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Hossain U. Shekhar	0000-0002-5947-330X	Dhaka University, Bangladesh	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Sunghee H Tak	0000-0003-4898-5091	Research Institute of Nursing Science College of Nursing Seoul National University, Republic of Korea	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Tomas Tesar	0000-0002-0023-4574	Department of Organisation and Management in Pharmacy, Faculty of Pharmacy, Comenius University, Bratislava, Slovakia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Abdelaziz M. Thabet	0000-0003-1659-941X	Al-Quds University, Palestinian Authority	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Antonio Vitarelli	0000-0002-7851-2204	Università di Roma, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Academic Editors	Solomon Yimer	0000-0003-0110-3792	Psychiatry Department, College of Health Sciences and Medicine, Dilla University, Ethiopia	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Salvatore Battaglia	0000-0002-2867-917X	University of Palermo, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Pankaj K. Bhavsar	0000-0003-3511-756X	Imperial College London, United Kingdom	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Demosthenes Bouros	0000-0003-4245-2227	Democritus University of Thrace, Greece	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Rudolf K. Braun	0000-0002-1778-9613	University of Wisconsin-Madison, USA	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Ugo Cioffi	0000-0002-5321-5828	Università degli Studi di Milano, Italy	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
Hindawi	BioMed Research International	Section Editors	Fotini Fligou	NA	Department of Anesthesiology and Intensive Care Medicine, General University Hospital of Patras, School of Medicine, University of Patras, Rion, 26504 Patras, Greece, Greece	https://www.hindawi.com/journals/bmri/editors/	2022-01-04
